precision,recall,f1-score,support,top_5_acc,top_5_precision,top_5_recall,top_5_f1
0.8723404255319149,0.82,0.8453608247422681,50.0,,,,
0.8125,0.78,0.7959183673469388,50.0,,,,
0.6444444444444445,0.58,0.6105263157894737,50.0,,,,
0.5384615384615384,0.56,0.5490196078431373,50.0,,,,
0.625,0.7,0.6603773584905661,50.0,,,,
0.6875,0.66,0.673469387755102,50.0,,,,
0.5,0.62,0.5535714285714285,50.0,,,,
0.8536585365853658,0.7,0.7692307692307692,50.0,,,,
0.6551724137931034,0.76,0.7037037037037037,50.0,,,,
0.75,0.9,0.8181818181818182,50.0,,,,
0.78,0.78,0.78,50.0,,,,
0.8695652173913043,0.8,0.8333333333333333,50.0,,,,
0.7916666666666666,0.76,0.7755102040816326,50.0,,,,
0.7636363636363637,0.84,0.8000000000000002,50.0,,,,
0.7735849056603774,0.82,0.796116504854369,50.0,,,,
0.75,0.84,0.7924528301886793,50.0,,,,
0.8333333333333334,0.8,0.816326530612245,50.0,,,,
0.8695652173913043,0.8,0.8333333333333333,50.0,,,,
0.7,0.7,0.7,50.0,,,,
0.9090909090909091,0.8,0.8510638297872342,50.0,,,,
0.8636363636363636,0.76,0.8085106382978724,50.0,,,,
0.5531914893617021,0.52,0.536082474226804,50.0,,,,
0.6721311475409836,0.82,0.7387387387387387,50.0,,,,
0.7,0.7,0.7,50.0,,,,
0.9791666666666666,0.94,0.9591836734693877,50.0,,,,
0.7894736842105263,0.9,0.8411214953271027,50.0,,,,
0.4716981132075472,0.5,0.4854368932038835,50.0,,,,
0.7346938775510204,0.72,0.7272727272727272,50.0,,,,
0.7708333333333334,0.74,0.7551020408163266,50.0,,,,
0.8372093023255814,0.72,0.7741935483870969,50.0,,,,
0.6140350877192983,0.7,0.6542056074766356,50.0,,,,
0.7441860465116279,0.64,0.6881720430107526,50.0,,,,
0.3888888888888889,0.28,0.32558139534883723,50.0,,,,
0.6274509803921569,0.64,0.6336633663366336,50.0,,,,
0.5609756097560976,0.46,0.5054945054945056,50.0,,,,
0.38333333333333336,0.46,0.41818181818181815,50.0,,,,
0.375,0.3,0.33333333333333326,50.0,,,,
0.6296296296296297,0.68,0.6538461538461539,50.0,,,,
0.6842105263157895,0.52,0.5909090909090909,50.0,,,,
0.5740740740740741,0.62,0.5961538461538461,50.0,,,,
0.34146341463414637,0.28,0.3076923076923077,50.0,,,,
0.6,0.72,0.6545454545454547,50.0,,,,
0.6122448979591837,0.6,0.6060606060606062,50.0,,,,
0.6666666666666666,0.64,0.6530612244897959,50.0,,,,
