precision,recall,f1-score,support,top_5_acc,top_5_precision,top_5_recall,top_5_f1
0.8409090909090909,0.74,0.7872340425531915,50.0,,,,
0.7272727272727273,0.64,0.6808510638297872,50.0,,,,
0.4027777777777778,0.58,0.47540983606557374,50.0,,,,
0.4098360655737705,0.5,0.45045045045045046,50.0,,,,
0.6666666666666666,0.44,0.5301204819277109,50.0,,,,
0.5510204081632653,0.54,0.5454545454545455,50.0,,,,
0.3103448275862069,0.36,0.3333333333333333,50.0,,,,
0.75,0.54,0.627906976744186,50.0,,,,
0.4642857142857143,0.52,0.49056603773584906,50.0,,,,
0.5263157894736842,0.8,0.6349206349206348,50.0,,,,
0.6938775510204082,0.68,0.686868686868687,50.0,,,,
0.8888888888888888,0.64,0.7441860465116279,50.0,,,,
0.6444444444444445,0.58,0.6105263157894737,50.0,,,,
0.6326530612244898,0.62,0.6262626262626263,50.0,,,,
0.6206896551724138,0.72,0.6666666666666666,50.0,,,,
0.6274509803921569,0.64,0.6336633663366336,50.0,,,,
0.6585365853658537,0.54,0.5934065934065934,50.0,,,,
0.6346153846153846,0.66,0.6470588235294118,50.0,,,,
0.37142857142857144,0.52,0.43333333333333335,50.0,,,,
0.6904761904761905,0.58,0.6304347826086957,50.0,,,,
0.6071428571428571,0.68,0.6415094339622641,50.0,,,,
0.4098360655737705,0.5,0.45045045045045046,50.0,,,,
0.4918032786885246,0.6,0.5405405405405406,50.0,,,,
0.47058823529411764,0.32,0.38095238095238104,50.0,,,,
0.5324675324675324,0.82,0.6456692913385826,50.0,,,,
0.86,0.86,0.8599999999999999,50.0,,,,
0.5,0.4,0.4444444444444445,50.0,,,,
0.5813953488372093,0.5,0.5376344086021505,50.0,,,,
0.627906976744186,0.54,0.5806451612903226,50.0,,,,
0.5581395348837209,0.48,0.5161290322580644,50.0,,,,
0.46296296296296297,0.5,0.4807692307692307,50.0,,,,
0.49122807017543857,0.56,0.5233644859813084,50.0,,,,
0.4583333333333333,0.22,0.29729729729729726,50.0,,,,
0.4166666666666667,0.4,0.4081632653061225,50.0,,,,
0.22826086956521738,0.42,0.29577464788732394,50.0,,,,
0.25,0.18,0.20930232558139533,50.0,,,,
0.25396825396825395,0.32,0.2831858407079646,50.0,,,,
0.5555555555555556,0.5,0.5263157894736842,50.0,,,,
