precision,recall,f1-score,support
0.9848790322580645,0.996938775510204,0.9908722109533468,980.0
0.9929577464788732,0.9938325991189427,0.9933949801849405,1135.0
0.9836538461538461,0.9912790697674418,0.9874517374517374,1032.0
0.9920634920634921,0.9900990099009901,0.9910802775024777,1010.0
0.9888663967611336,0.994908350305499,0.9918781725888325,982.0
0.9865319865319865,0.9854260089686099,0.9859786876051598,892.0
0.9947089947089947,0.9812108559498957,0.9879138202837625,958.0
0.9844961240310077,0.9883268482490273,0.9864077669902912,1028.0
0.9886363636363636,0.9825462012320328,0.9855818743563337,974.0
0.992,0.9831516352824579,0.9875559980089598,1009.0
0.9889,0.9889,0.9889,0.9889
0.9888793982623764,0.9887719354285102,0.988811552592584,10000.0
0.9889209774304197,0.9889,0.9888966069309892,10000.0
